county_code,county,county_lat,county_lon
01,Stockholm county,59.3293,18.0686
03,Uppsala county,59.8586,17.6389
04,Södermanland county,58.7526,17.0087
05,Östergötland county,58.4108,15.6214
06,Jönköping county,57.7826,14.1618
07,Kronoberg county,56.8777,14.8091
08,Kalmar county,56.6634,16.3566
09,Gotland county,57.6348,18.2948
10,Blekinge county,56.1612,15.5869
12,Skåne county,55.6050,13.0038
13,Halland county,56.6745,12.8578
14,Västra Götaland county,57.7089,11.9746
17,Värmland county,59.3793,13.5036
18,Örebro county,59.2753,15.2134
19,Västmanland county,59.6099,16.5448
20,Dalarna county,60.6065,15.6355
21,Gävleborg county,60.6749,17.1413
22,Västernorrland county,62.6324,17.9385
23,Jämtland county,63.1792,14.6357
24,Västerbotten county,63.8258,20.2630
25,Norrbotten county,65.5848,22.1567
